,response_value
13,2.0
85,3.0
145,2.0
205,0.0
301,2.0
325,2.0
517,1.0
553,2.0
673,2.0
685,0.0
769,1.0
889,2.0
949,3.0
1069,2.0
1105,2.0
1213,0.0
1249,3.0
1261,2.0
1345,0.0
1393,3.0
1573,1.0
1609,0.0
1645,3.0
1741,3.0
1777,3.0
1837,0.0
1897,2.0
1945,3.0
2005,3.0
2077,2.0
2185,0.0
2221,2.0
2257,2.0
2341,1.0
2581,1.0
2593,2.0
2629,3.0
2641,2.0
2677,2.0
2713,1.0
13,2.0
85,3.0
145,2.0
205,0.0
301,2.0
325,2.0
517,1.0
553,2.0
673,2.0
685,0.0
769,1.0
889,2.0
949,3.0
1069,2.0
1105,2.0
1213,0.0
1249,3.0
1261,2.0
1345,0.0
1393,3.0
1573,1.0
1609,0.0
1645,3.0
1741,3.0
1777,3.0
1837,0.0
1897,2.0
1945,3.0
2005,3.0
2077,2.0
2185,0.0
2221,2.0
2257,2.0
2341,1.0
2581,1.0
2593,2.0
2629,3.0
2641,2.0
2677,2.0
2713,1.0
