ID,response_value,name,composer,id,condition,reverse
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,1,enjoyment,chopin,10,forward,False
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,0,desire-to-own,chopin,11,forward,False
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,0,coherence-reverse,chopin,0,forward,True
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,1,dynamism-reverse,chopin,1,forward,True
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,3,dynamism,chopin,2,forward,False
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,3,expressiveness,chopin,3,forward,False
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,1,affect,chopin,4,forward,False
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,3,strangeness,chopin,5,forward,False
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,3,affect-reverse,chopin,6,forward,True
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,3,coherence,chopin,7,forward,False
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,0,strangeness-reverse,chopin,8,forward,True
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,0,expressiveness-reverse,chopin,9,forward,True
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,3,enjoyment,bach,10,reversed,False
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,2,desire-to-own,bach,11,reversed,False
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,3,affect,bach,0,reversed,False
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,0,affect-reverse,bach,1,reversed,True
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,3,expressiveness,bach,2,reversed,False
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,3,dynamism-reverse,bach,3,reversed,True
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,1,strangeness-reverse,bach,4,reversed,True
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,0,expressiveness-reverse,bach,5,reversed,True
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,0,strangeness,bach,6,reversed,False
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,2,coherence,bach,7,reversed,False
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,2,dynamism,bach,8,reversed,False
A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,1,coherence-reverse,bach,9,reversed,True
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,4,enjoyment,bach,10,scrambled,False
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,3,desire-to-own,bach,11,scrambled,False
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,4,strangeness-reverse,bach,0,scrambled,True
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,2,expressiveness,bach,1,scrambled,False
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,2,affect-reverse,bach,2,scrambled,True
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,0,expressiveness-reverse,bach,3,scrambled,True
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,3,affect,bach,4,scrambled,False
