,ID,composer,condition,name,response_value
0,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,enjoyment,1.0
1,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,desire-to-own,0.0
2,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,coherence,4.0
3,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,dynamism,3.0
4,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,dynamism,3.0
5,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,expressiveness,3.0
6,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,affect,1.0
7,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,strangeness,3.0
8,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,affect,1.0
9,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,coherence,3.0
10,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,strangeness,4.0
11,ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,chopin,forward,expressiveness,4.0
12,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,enjoyment,3.0
13,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,desire-to-own,2.0
14,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,affect,3.0
15,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,affect,4.0
16,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,expressiveness,3.0
17,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,dynamism,1.0
18,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,strangeness,3.0
19,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,expressiveness,4.0
20,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,strangeness,0.0
21,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,coherence,2.0
22,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,dynamism,2.0
23,A1XTRYSSOR598O:3UXUOQ9OKF95LN2YBNGXZLUEJAEA7I,bach,reversed,coherence,3.0
24,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,enjoyment,4.0
25,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,desire-to-own,3.0
26,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,strangeness,0.0
27,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,expressiveness,2.0
28,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,affect,2.0
29,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,expressiveness,4.0
30,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,affect,3.0
31,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,strangeness,0.0
32,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,dynamism,2.0
33,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,dynamism,3.0
34,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,coherence,4.0
35,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,bach,scrambled,coherence,4.0
36,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,chopin,scrambled,enjoyment,2.0
37,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,chopin,scrambled,desire-to-own,1.0
38,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,chopin,scrambled,coherence,3.0
39,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,chopin,scrambled,dynamism,2.0
