UniqueID,begin_hit,end_hit,hit_length
AZGKWTVRE2YQM:3FDJT1UU75KWAWX1ZLEPVFJEYDI5KD,3/19/2018 3:37 AM,3/19/2018 3:47 AM,00:10:09
AZ69TBTDH7AZS:3HRMW88U172S5DB3NRLTTXFR6AMM0Y,3/18/2018 7:16 PM,3/18/2018 7:30 PM,00:14:18
AYF8B7WJO2YQU:3300DTYQT3TIHIOPNRRPVV10ACTEQZ,3/18/2018 8:15 PM,3/18/2018 8:37 PM,00:21:20
AY9ZVK32I1P1L:3VHHR074H4TMH6T28E5N8ZAPE4UL7T,3/8/2018 12:09 AM,3/8/2018 12:22 AM,00:13:27
AY4B7SUM68J3G:3OONKJ5DKDVHP3ZPYNXV5I0FSEOBOE,3/18/2018 1:50 PM,3/18/2018 2:01 PM,00:11:38
AY0BJCGY2DHIX:3QAPZX2QN5P2Y97AD929EO1T05V20D,3/18/2018 1:36 PM,3/18/2018 1:58 PM,00:22:03
AXDC2BMUVCYOY:3YGXWBAF71TWVFHDT3EH240ST8OC4C,3/18/2018 1:47 PM,3/18/2018 2:00 PM,00:12:43
AWZLHQLGSE3GK5:3G5F9DBFOQ9M60B8ZRT5MLXLJ5OVHK,3/7/2018 11:12 PM,3/7/2018 11:21 PM,00:09:38
AW0MG225VXWCN:34V1S5K3GTD8C4EO07X5XCJYJZP96H,3/7/2018 10:46 PM,3/7/2018 10:57 PM,00:11:47
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,3/4/2018 3:53 PM,3/4/2018 4:04 PM,00:11:09
AVI7K876BV3QL:3LO69W1SU4P5AZ431H9HECNIB2CLGJ,2/10/2018 3:33 AM,2/10/2018 3:46 AM,00:13:51
AV22FQTJNBUZT:3VP0C6EFSH8NJOXIPG1A2YPIJD86MJ,3/18/2018 8:28 PM,3/18/2018 8:40 PM,00:12:05
AU34T9OMHN4Z4:3QRYMNZ7FZTZ34TUXUO3QN6W8BTNTB,3/18/2018 8:45 PM,3/18/2018 8:58 PM,00:12:12
ATHS9CW2FLYUY:3H0W84IWBLEITJ3P06GP0LB569SERJ,3/26/2018 11:38 PM,3/26/2018 11:53 PM,00:14:44
ATF7HBD1TFI2U:30X31N5D642R4LMQZQE8UCQA6OPAS3,3/3/2018 12:27 AM,3/3/2018 12:39 AM,00:11:57
ARTSG66V2MOJ6:3FTYUGLFSVXOWQRR74S2R2OOC3V5D6,2/15/2018 9:05 PM,2/15/2018 9:16 PM,00:11:10
AROOCBM042SJD:3R9WASFE20SJ1OPC5YU846Y4R1HFZ6,3/8/2018 12:17 AM,3/8/2018 12:26 AM,00:09:12
